Feature ID	Taxon	Consensus
418424431b1f638014dc553965888b2b	Unassigned	1.0
419ac766f63fc1470c3ae8c8cfe3c3f1	Unassigned	1.0
41ace1265f76110b2ac046bee75af512	Unassigned	1.0
4232db7b9b798f7cb30b4187a74a9f8e	Unassigned	1.0
42458e6d302a6ce91cd607657cec8a02	Unassigned	1.0
425a0bc9a0e9ae421d8118820bae7bca	Unassigned	1.0
42d67397ad78cd8bcd53af0a43c23589	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis;f__Cercozoa_fam_Incertae_sedis;g__Cercozoa_gen_Incertae_sedis;s__Cercozoa_sp;sh__SH1687345.09FU	1.0
431904f8de68406fcf42497a6a4d62e0	Unassigned	1.0
431aab9e0e6537a9d1abc68925bf050a	Unassigned	1.0
4338f66c7bc2d7376a4ad31d22e94986	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Togniniales;f__Togniniaceae;g__Phaeoacremonium;s__Phaeoacremonium_sp;sh__SH1499619.09FU	1.0
435c8d07a8e06e3a86e47d722f259902	Unassigned	1.0
4366e8c70915edd90962c40fb3a180b1	Unassigned	1.0
4395dc0838a0584d2771f232a6be5cc7	Unassigned	1.0
44563e8987d99f54e6025d929b09344b	Unassigned	1.0
44d51d5d5e341db81902d3c4f4a535b3	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_penarojense;sh__SH1947861.09FU	1.0
44e51c74d6de993f67178f2fb931dd2b	Unassigned	1.0
45942e8f0312399290eb889c903399df	Unassigned	1.0
459909e1843eeea8d3e23d108713d55c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__Capronia_sp;sh__SH1395144.09FU	1.0
45fc43fab9e44f78319f86363a167974	Unassigned	1.0
466a00e9b515b41dd0f8e654ccaa29bc	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Gymnopus;s__Gymnopus_sp;sh__SH2048446.09FU	1.0
4689564d2748c9db9703a0a48933747d	Unassigned	1.0
468a24a8245cccf28330bd947ca15b01	Unassigned	1.0
46a1dc609fd58e6f605bbcae71b57d77	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__GS23;f__GS23_fam_Incertae_sedis;g__GS23_gen_Incertae_sedis;s__GS23_sp;sh__SH2059932.09FU	1.0
475b08caee39d786ae06a8b9c63a4e0c	Unassigned	1.0
4773002fd7b19e9289ec5f77dae08ce2	Unassigned	1.0
477b9ffeafac789e9a5493516394cd1d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Rossbeevera;s__Rossbeevera_sp;sh__SH1639932.09FU	1.0
47dd304e21ac514a30b7a6e548cb19d1	Unassigned	1.0
480d317b94ac4a29bfa01340081affe0	Unassigned	1.0
482f291c5c849406df17a1d98bc8964e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Coltricia;s__Coltricia_sp;sh__SH1579892.09FU	1.0
4850d500305d57622ad0c19c6715f7cc	Unassigned	1.0
486cf3471638d071aa105cef6958022e	Unassigned	1.0
486d5ad7a7640269ca254b94fa396823	Unassigned	1.0
48e795d3067e102d5c387c7d299ed9d5	Unassigned	1.0
490204af924c760be98c123a8e57db4e	Unassigned	1.0
493639b4e48ec0f20cf4fb72c82cf8c2	Unassigned	1.0
499bdc67382607a1009ad2d334a963a0	Unassigned	1.0
4a1006299a07c598ca2ef084cdde375d	Unassigned	1.0
4a5aa42cbc62665d47c2690a3f98daa8	Unassigned	1.0
4ac8ed1e17e145dc4959835d68f58e77	Unassigned	1.0
4acd8406c04a5f1c6c792892d952b47f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Hysterangiaceae;g__Hysterangium;s__Hysterangium_sp;sh__SH1584249.09FU	1.0
4ba86d006977c15c75166b66ab4b3e38	Unassigned	1.0
4c2f6f551545deaf5d35f3fc35cc8a76	Unassigned	1.0
4c3a96327d34bdf2841f5d31b511f94c	Unassigned	1.0
4c3ccead89ab2c4d376ffcb0f5905ff3	Unassigned	1.0
4c40a0a221664cecd63e4dd46de6797a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Hysterangiaceae;g__Chondrogaster;s__Chondrogaster_sp;sh__SH1869156.09FU	1.0
4c781a746faf5c7f5db934a363204db4	k__Metazoa;p__Annelida;c__Annelida_cls_Incertae_sedis;o__Annelida_ord_Incertae_sedis;f__Annelida_fam_Incertae_sedis;g__Annelida_gen_Incertae_sedis;s__Annelida_sp;sh__SH1752231.09FU	1.0
4c8b8f9ed8c4885a083228d9353f8ff3	Unassigned	1.0
4cabb7686f19298bc3d43e363ce8181d	Unassigned	1.0
4cae61955ae4bf6eb8db35708b656aa7	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__GS23;f__GS23_fam_Incertae_sedis;g__GS23_gen_Incertae_sedis;s__GS23_sp;sh__SH2059960.09FU	1.0
4d00c451b95520b318a8b597950de67c	Unassigned	1.0
4d7c5b7b0824d9652134653d1ae79cfa	Unassigned	1.0
4d8a86130ce340cf29508e8a64944791	Unassigned	1.0
4eb516264099eb01dc942cdc6a36dddf	Unassigned	1.0
4ee4c3b39a1e68a3f504a2262ad21e23	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Leveillula;s__Leveillula_elaeagni;sh__SH1607935.09FU	1.0
4fa624959580f49ccfb8def3273ee712	Unassigned	1.0
4ffe42cfa98cbae7902197532f5c051d	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp;sh__SH1966556.09FU	1.0
5024baf60d3355ac65979c24cc0f868d	Unassigned	1.0
5032f9947c37e74b9a6ced94dc208fc5	Unassigned	1.0
