#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/247271096/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/247271345/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/247272529/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/235935332/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/235998990/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/241635245/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/241636503/ccs	666	43.84	40.00	5E_control
m84073_231201_024147_s2/241699956/ccs	663	43.89	39.99	5E_control
m84073_231201_024147_s2/241637212/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/264245656/ccs	481	48.44	39.00	5E_control
m84073_231201_024147_s2/264246027/ccs	665	43.61	39.61	5E_control
m84073_231201_024147_s2/252908195/ccs	483	48.45	40.00	5E_control
m84073_231201_024147_s2/252908132/ccs	480	47.92	34.03	5E_control
m84073_231201_024147_s2/258610185/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/258609579/ccs	482	48.13	40.00	5E_control
m84073_231201_024147_s2/247336067/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/247336481/ccs	666	43.54	40.00	5E_control
m84073_231201_024147_s2/264310431/ccs	481	48.02	24.94	5E_control
m84073_231201_024147_s2/258673829/ccs	664	43.83	39.61	5E_control
m84073_231201_024147_s2/252973845/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/241701074/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/241700130/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/241701914/ccs	665	43.76	30.69	5E_control
m84073_231201_024147_s2/241701500/ccs	481	48.02	29.37	5E_control
m84073_231201_024147_s2/247403371/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/235999659/ccs	481	48.23	28.70	5E_control
m84073_231201_024147_s2/264311891/ccs	483	48.24	24.24	5E_control
m84073_231201_024147_s2/264376651/ccs	481	48.23	23.55	5E_control
m84073_231201_024147_s2/235999743/ccs	663	44.04	39.99	5E_control
m84073_231201_024147_s2/253037980/ccs	664	43.98	39.61	5E_control
m84073_231201_024147_s2/253039816/ccs	483	48.24	40.00	5E_control
m84073_231201_024147_s2/258740986/ccs	482	48.13	35.12	5E_control
m84073_231201_024147_s2/253038937/ccs	664	43.83	40.00	5E_control
m84073_231201_024147_s2/253104697/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/258806653/ccs	481	48.02	39.98	5E_control
m84073_231201_024147_s2/241702575/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/253037722/ccs	481	48.02	39.24	5E_control
m84073_231201_024147_s2/253038595/ccs	482	48.34	39.98	5E_control
m84073_231201_024147_s2/258741724/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/253103214/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/241767314/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/236064773/ccs	663	44.04	39.88	5E_control
m84073_231201_024147_s2/236066159/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/247404149/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/236065505/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/247404019/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/253105222/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/236065305/ccs	662	43.96	31.59	5E_control
m84073_231201_024147_s2/247467687/ccs	664	43.67	40.00	5E_control
m84073_231201_024147_s2/253169251/ccs	665	43.61	39.86	5E_control
m84073_231201_024147_s2/236066452/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/236129678/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/236131110/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/247469117/ccs	722	42.80	37.11	5E_control
m84073_231201_024147_s2/264441193/ccs	665	43.61	39.99	5E_control
m84073_231201_024147_s2/253105351/ccs	481	48.02	29.41	5E_control
m84073_231201_024147_s2/253105404/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/241831694/ccs	664	43.98	30.54	5E_control
m84073_231201_024147_s2/247468806/ccs	482	48.55	29.71	5E_control
m84073_231201_024147_s2/258872206/ccs	481	48.02	26.52	5E_control
m84073_231201_024147_s2/241832385/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/253234393/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/241831954/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/258872778/ccs	482	48.55	34.82	5E_control
m84073_231201_024147_s2/258936456/ccs	662	43.96	40.00	5E_control
m84073_231201_024147_s2/236195198/ccs	484	48.55	20.00	5E_control
m84073_231201_024147_s2/258936764/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/236195922/ccs	482	48.34	23.10	5E_control
m84073_231201_024147_s2/236194849/ccs	663	43.89	36.01	5E_control
m84073_231201_024147_s2/247534971/ccs	663	43.89	39.99	5E_control
m84073_231201_024147_s2/253236700/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/247535130/ccs	665	43.76	40.00	5E_control
m84073_231201_024147_s2/247599377/ccs	483	48.45	39.96	5E_control
m84073_231201_024147_s2/247600523/ccs	480	48.33	39.47	5E_control
m84073_231201_024147_s2/241896659/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/253299769/ccs	663	44.19	40.00	5E_control
m84073_231201_024147_s2/247663872/ccs	665	43.61	21.36	5E_control
m84073_231201_024147_s2/253236615/ccs	664	43.67	35.96	5E_control
m84073_231201_024147_s2/247600206/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/247601002/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/241896557/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/247600235/ccs	481	48.23	40.00	5E_control
m84073_231201_024147_s2/236196600/ccs	663	44.04	40.00	5E_control
