#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/242554703/ccs	947	38.97	30.29	5B
m84073_231201_024147_s2/254022988/ccs	349	42.69	40.00	5B
m84073_231201_024147_s2/236916590/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/265294569/ccs	949	38.78	39.98	5B
m84073_231201_024147_s2/242619049/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/242618810/ccs	948	38.82	18.37	5B
m84073_231201_024147_s2/265359011/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/254088570/ccs	947	38.86	35.84	5B
m84073_231201_024147_s2/242617990/ccs	1218	51.07	40.00	5B
m84073_231201_024147_s2/242619242/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/242619676/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/248452327/ccs	68	57.35	40.00	5B
m84073_231201_024147_s2/236981868/ccs	950	38.74	36.88	5B
m84073_231201_024147_s2/248452700/ccs	951	38.80	36.75	5B
m84073_231201_024147_s2/254217926/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/242620122/ccs	950	38.74	40.00	5B
m84073_231201_024147_s2/248518020/ccs	948	38.82	25.71	5B
m84073_231201_024147_s2/237048038/ccs	951	38.91	40.00	5B
m84073_231201_024147_s2/237047957/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/254219297/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/237048420/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/242684249/ccs	84	38.10	40.00	5B
m84073_231201_024147_s2/242684219/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/242620235/ccs	949	38.88	39.91	5B
m84073_231201_024147_s2/237049297/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/254218921/ccs	349	42.41	39.97	5B
m84073_231201_024147_s2/254218735/ccs	68	57.35	40.00	5B
m84073_231201_024147_s2/237113493/ccs	950	38.74	40.00	5B
m84073_231201_024147_s2/242685724/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/254218384/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/242685312/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/237113429/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/248647313/ccs	949	38.88	39.91	5B
m84073_231201_024147_s2/259787966/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/237114026/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/242748900/ccs	977	53.33	40.00	5B
m84073_231201_024147_s2/242685640/ccs	589	51.27	40.00	5B
m84073_231201_024147_s2/237178172/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/242685839/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/242749296/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/259723827/ccs	944	38.67	23.25	5B
